fecha,temp_out (Grados C),hi_temp (Grados C),low_temp (Grados C),out_hum (%),dew_Pt (Grados C),wind_Speed (km/h),wind_dir (Grados ),wind_run (km),hi_speed (km/h),hi_Dir (Grados ),wind_chill (Grados C),heat_Index (Grados C),tHW_index (Grados C),tHSW_index (Grados C),bar (mb),rain (mm),rain_rate (mm/hr),solar_rad (W/m2),solar_energy (MJ/m2),hi_solar_rad (W/m2),uv_index (UV),uv_dose (MEDs),hi_uv (UV),Heat_dd (Grados C dias grado-calor),cool_dd (Grados C),in_temp (Grados C),in_hum (%),in_dew (Grados C),in_heat (Grados C),in_emc (g/m3),in_air (kg/cu.m),ET (mm),wind_samp,wind_tx,iss_recept (%),arc_int (minutos),created_at,updated_at,
2024-01-01 00:00:00, 11.71701, 22.2, 2.3, 20.4340, -11.45660, 3.15035, N, 0.262639, 6.74167, N, 11.70035, 9.87847, 9.86146, 8.93264, 1018.66806, 0.0, 0.00000, 143.8264, 1.030764, 145.7569, 0.72569, 0.014340, 0.73299, 0.0246493, 0.0016875, 16.38854, 21.3264, -5.83368, 13.90278, 4.922326, 1.22152917, 3.9, 115.0174, 1.0000, 99.83889, 5.0000, 2024-01-01 00:05:07, 2024-01-01 00:05:07, 
2024-01-02 00:00:00, 12.45243, 18.6, 7.5, 37.0972, -2.34861, 6.66597, N, 0.555313, 12.46944, N, 12.01181, 11.09063, 10.65417, 9.67153, 1014.54896, 0.0, 0.00000, 116.3819, 0.834340, 130.7639, 0.63438, 0.012743, 0.71007, 0.0204201, 0.0000000, 17.67188, 25.5069, -2.48438, 15.40451, 5.558507, 1.20971007, 3.7, 115.6215, 1.0000, 99.94132, 5.0000, 2024-01-02 00:05:07, 2024-01-02 00:05:07, 
2024-01-03 00:00:00, 9.43472, 18.4, 1.6, 46.8750, -2.09653, 3.81389, N, 0.318160, 8.24132, N, 9.32708, 8.40694, 8.29757, 7.63021, 1018.24063, 0.0, 0.00000, 138.1528, 0.990104, 142.0799, 0.73854, 0.014514, 0.75868, 0.0308993, 0.0000000, 19.55729, 30.4826, 1.67118, 17.65174, 6.328403, 1.20426771, 2.8, 114.7083, 1.0000, 99.25208, 5.0000, 2024-01-03 00:05:06, 2024-01-03 00:05:06, 
2024-01-04 00:00:00, 12.27049, 18.4, 7.1, 34.8194, -4.13472, 7.65417, N, 0.638333, 16.59063, N, 11.68056, 10.80764, 10.21910, 9.33715, 1009.88611, 0.0, 0.00000, 137.2674, 0.983924, 143.5972, 0.66875, 0.013368, 0.69271, 0.0210451, 0.0000000, 19.86111, 29.8542, 1.67465, 17.94931, 6.226736, 1.19308750, 4.3, 115.3333, 1.0000, 99.85694, 5.0000, 2024-01-04 00:05:07, 2024-01-04 00:05:07, 
2024-01-05 00:00:00, 8.68958, 15.3, 1.3, 33.1424, -7.34583, 4.87882, N, 0.406875, 9.81042, N, 8.31944, 7.44653, 7.07743, 6.29653, 1012.05139, 0.0, 0.00000, 143.6389, 1.029479, 145.2951, 0.67569, 0.013229, 0.68507, 0.0335000, 0.0000000, 19.30243, 26.6632, -0.39375, 17.07361, 5.750833, 1.19908438, 3.2, 113.8681, 1.0000, 98.54271, 5.0000, 2024-01-05 00:05:07, 2024-01-05 00:05:07, 
2024-01-06 00:00:00, 6.84931, 16.6, -0.6, 35.0938, -8.32118, 2.87396, N, 0.240035, 6.94583, N, 6.67083, 5.71840, 5.53889, 4.70278, 1015.25417, 0.0, 0.00000, 144.9826, 1.038993, 147.5035, 0.73160, 0.014410, 0.74132, 0.0398368, 0.0000000, 17.54965, 25.9549, -2.22813, 15.25174, 5.652778, 1.21108194, 2.8, 114.5972, 1.0000, 98.86910, 5.0000, 2024-01-06 00:05:07, 2024-01-06 00:05:07, 
2024-01-07 00:00:00, 8.08958, 22.9, -2.6, 26.9618, -11.51528, 4.49479, N, 0.374549, 10.32049, N, 7.87083, 6.67118, 6.45139, 5.51563, 1014.21771, 0.0, 0.00000, 147.3854, 1.056493, 150.4479, 0.69792, 0.013819, 0.70729, 0.0372431, 0.0016840, 15.03194, 23.5590, -5.66250, 12.79340, 5.269410, 1.22179965, 3.4, 115.4931, 1.0000, 99.61840, 5.0000, 2024-01-07 00:05:07, 2024-01-07 00:05:07, 
2024-01-08 00:00:00, 12.48472, 19.6, 8.3, 27.3368, -6.20799, 16.55451, N, 1.379549, 33.75521, N, 10.30938, 10.87222, 8.69861, 7.87118, 1002.58333, 0.0, 0.00000, 145.0486, 1.039618, 149.1389, 0.62049, 0.012326, 0.64063, 0.0203368, 0.0000313, 17.08021, 24.6875, -3.32361, 14.76354, 5.442465, 1.19818958, 5.5, 116.1181, 1.0000, 99.98160, 5.0000, 2024-01-08 00:05:06, 2024-01-08 00:05:06, 
2024-01-09 00:00:00, 4.26840, 12.3, -3.8, 20.2222, -17.26354, 5.07917, N, 0.423056, 10.35208, N, 3.49896, 3.20451, 2.43646, 1.38750, 1017.49688, 0.0, 0.00000, 146.8438, 1.052604, 149.4653, 0.65243, 0.012882, 0.66215, 0.0488160, 0.0000000, 19.23611, 22.1007, -3.01042, 17.02118, 4.993958, 1.20710764, 3.3, 115.4688, 1.0000, 99.45764, 5.0000, 2024-01-09 00:05:05, 2024-01-09 00:05:05, 
2024-01-10 00:00:00, 7.95729, 25.4, -1.2, 20.7465, -14.84375, 3.10104, N, 0.257604, 7.08403, N, 7.90069, 6.61979, 6.56285, 5.61111, 1014.35625, 0.0, 0.00000, 145.5104, 1.042986, 152.0660, 0.70590, 0.013924, 0.72847, 0.0393333, 0.0035000, 19.76979, 21.9410, -2.69132, 17.55208, 4.951458, 1.20101910, 3.4, 114.8299, 1.0000, 98.94306, 5.0000, 2024-01-10 00:05:06, 2024-01-10 00:05:06, 
