fecha,temp_out (Grados C),hi_temp (Grados C),low_temp (Grados C),out_hum (%),dew_Pt (Grados C),wind_Speed (km/h),wind_dir (Grados ),wind_run (km),hi_speed (km/h),hi_Dir (Grados ),wind_chill (Grados C),heat_Index (Grados C),tHW_index (Grados C),tHSW_index (Grados C),bar (mb),rain (mm),rain_rate (mm/hr),solar_rad (W/m2),solar_energy (MJ/m2),hi_solar_rad (W/m2),uv_index (UV),uv_dose (MEDs),hi_uv (UV),Heat_dd (Grados C dias grado-calor),cool_dd (Grados C),in_temp (Grados C),in_hum (%),in_dew (Grados C),in_heat (Grados C),in_emc (g/m3),in_air (kg/cu.m),ET (mm),wind_samp,wind_tx,iss_recept (%),arc_int (minutos),created_at,updated_at,
2025-01-01 00:00:00, 12.79201, 23.9, 3.2, 20.0694, -10.73507, 2.71736, N, 0.225694, 6.15278, N, 12.78819, 10.94965, 10.94653, 9.89757, 1016.08403, 0.0, 0.00000, 120.1319, 0.860903, 127.3889, 0.72153, 0.014132, 0.74271, 0.0222500, 0.0029479, 19.44479, 22.0521, -2.82292, 16.92049, 4.957604, 1.20446806, 3.7, 116.2049, 1.0000, 99.83507, 5.0000, 2025-01-01 00:00:06, 2025-01-01 00:00:06, 
2025-01-02 00:00:00, 11.83611, 22.9, 2.7, 19.9271, -11.61771, 2.49514, N, 0.207951, 5.74410, N, 11.83056, 10.08750, 10.08194, 9.06181, 1020.11979, 0.0, 0.00000, 125.2361, 0.897743, 130.3333, 0.70208, 0.013854, 0.71667, 0.0251632, 0.0025833, 19.74201, 21.9444, -2.65278, 17.32813, 4.920069, 1.20793368, 3.7, 115.7188, 1.0000, 99.67396, 5.0000, 2025-01-02 00:00:07, 2025-01-02 00:00:07, 
2025-01-03 00:00:00, 12.38681, 23.7, 3.4, 21.6285, -9.67500, 2.36840, N, 0.197396, 5.83507, N, 12.38472, 10.72639, 10.72500, 9.77326, 1021.84757, 0.0, 0.00000, 125.7639, 0.901250, 127.5417, 0.68160, 0.013507, 0.68993, 0.0238889, 0.0032361, 20.33681, 22.4688, -1.83958, 17.99653, 5.017465, 1.20721215, 3.8, 116.3299, 1.0000, 99.91146, 5.0000, 2025-01-03 00:00:07, 2025-01-03 00:00:07, 
2025-01-04 00:00:00, 16.47361, 29.7, 7.1, 26.4097, -3.87569, 2.82118, N, 0.234618, 7.45382, N, 16.46771, 14.93646, 14.93056, 14.16667, 1014.68056, 0.0, 0.00000, 126.5590, 0.907188, 135.6285, 0.72951, 0.014271, 0.75382, 0.0161944, 0.0097222, 20.02778, 22.8472, -1.86146, 17.61354, 5.089132, 1.19998646, 4.1, 116.1319, 1.0000, 99.96875, 5.0000, 2025-01-04 00:00:07, 2025-01-04 00:00:07, 
2025-01-05 00:00:00, 17.12639, 25.8, 9.2, 24.8368, -3.89410, 6.34236, N, 0.528333, 12.01146, N, 17.04028, 15.03125, 14.94444, 14.19340, 1009.88819, 0.0, 0.00000, 134.2257, 0.962083, 137.0972, 0.76181, 0.014896, 0.77292, 0.0076701, 0.0034896, 20.60069, 22.8229, -1.39757, 18.24236, 5.094549, 1.19169688, 4.1, 116.4167, 1.0000, 99.99375, 5.0000, 2025-01-05 00:00:07, 2025-01-05 00:00:07, 
2025-01-06 00:00:00, 11.04757, 18.8, 3.6, 23.9514, -9.55625, 3.22604, N, 0.268299, 7.37743, N, 11.04410, 9.32153, 9.31736, 8.38819, 1016.52951, 0.0, 0.00000, 130.5868, 0.936042, 132.5243, 0.72326, 0.014306, 0.73125, 0.0253611, 0.0000625, 19.86250, 23.0694, -1.93611, 17.50694, 5.103646, 1.20283576, 3.7, 116.1875, 1.0000, 99.97500, 5.0000, 2025-01-06 00:00:07, 2025-01-06 00:00:07, 
2025-01-07 00:00:00, 10.24375, 18.6, 2.7, 28.0069, -7.84931, 4.81979, N, 0.401076, 9.36215, N, 10.01528, 8.71910, 8.49132, 7.55833, 1014.39375, 0.0, 0.00000, 128.3264, 0.919896, 130.2847, 0.66736, 0.012986, 0.67569, 0.0280833, 0.0000035, 20.17431, 23.6111, -1.30833, 17.85313, 5.228785, 1.19874653, 3.6, 115.8750, 1.0000, 99.87778, 5.0000, 2025-01-07 00:00:07, 2025-01-07 00:00:07, 
2025-01-08 00:00:00, 4.78750, 14.8, -0.2, 35.9722, -9.27500, 9.32083, N, 0.776146, 16.86076, N, 2.67153, 3.93229, 1.81493, 0.57014, 1020.11424, 0.0, 0.00000, 93.2396, 0.668229, 110.1667, 0.53125, 0.010417, 0.59583, 0.0470347, 0.0000000, 19.05382, 24.5556, -1.74792, 16.70556, 5.397674, 1.21038403, 3.1, 114.7639, 1.0000, 99.01458, 5.0000, 2025-01-08 00:00:07, 2025-01-08 00:00:07, 
2025-01-09 00:00:00, 5.52326, 14.2, 0.2, 47.1806, -5.68368, 6.81181, N, 0.567778, 14.13750, N, 4.52535, 4.68681, 3.68368, 3.18368, 1016.23021, 0.0, 0.00000, 139.7500, 1.001632, 142.7674, 0.57257, 0.011493, 0.58403, 0.0444653, 0.0000000, 18.20625, 25.8819, -1.74583, 15.92604, 5.606389, 1.20923160, 2.9, 114.3090, 1.0000, 98.90174, 5.0000, 2025-01-09 00:00:07, 2025-01-09 00:00:07, 
2025-01-10 00:00:00, 1.40000, 11.7, -2.1, 73.8958, -3.36667, 5.19132, N, 0.432917, 10.00417, N, 0.07153, 1.10069, -0.22569, -1.59653, 1021.06944, 0.6, 0.01181, 81.1424, 0.581597, 89.8194, 0.38472, 0.007535, 0.43056, 0.0588229, 0.0000000, 18.49896, 29.0972, 0.11458, 16.46944, 6.138299, 1.21289306, 1.6, 114.6667, 1.0000, 99.08229, 5.0000, 2025-01-10 00:00:07, 2025-01-10 00:00:07, 
2025-01-11 00:00:00, 0.83681, 11.6, -5.6, 63.7396, -5.68333, 1.92778, WSW, 0.161528, 5.18785, WSW, 0.56840, 0.43333, 0.16389, -0.39618, 1023.44965, 0.0, 0.00000, 147.1701, 1.054861, 148.9063, 0.64618, 0.012708, 0.65521, 0.0607465, 0.0000000, 14.57535, 29.0382, -3.27049, 12.77118, 6.164965, 1.23397917, 1.8, 114.2222, 1.0000, 98.28194, 5.0000, 2025-01-11 00:00:08, 2025-01-11 00:00:08, 
2025-01-12 00:00:00, 5.55208, 14.6, -1.3, 60.7465, -2.26285, 2.97674, N, 0.247500, 5.97743, N, 5.38264, 4.92743, 4.76042, 4.13472, 1015.17882, 0.0, 0.00000, 140.9931, 1.010625, 142.7049, 0.59375, 0.011944, 0.60243, 0.0441632, 0.0000000, 12.80833, 32.4444, -3.33924, 11.28438, 6.675938, 1.23154583, 2.2, 115.4618, 1.0000, 99.37847, 5.0000, 2025-01-12 00:00:07, 2025-01-12 00:00:07, 
2025-01-13 00:00:00, 6.61979, 15.4, -1.2, 55.0069, -2.57778, 2.92569, N, 0.243750, 6.59444, N, 6.48090, 5.89549, 5.75729, 5.14479, 1019.27465, 0.0, 0.00000, 143.5313, 1.028750, 145.3403, 0.63715, 0.012569, 0.64479, 0.0407118, 0.0000000, 15.93576, 33.8854, 0.01250, 14.34410, 6.882986, 1.22151632, 2.4, 116.0972, 1.0000, 99.99063, 5.0000, 2025-01-13 00:00:08, 2025-01-13 00:00:08, 
2025-01-14 00:00:00, 7.90208, 16.6, 0.5, 52.2569, -2.00139, 3.55174, N, 0.295035, 7.33681, N, 7.79340, 7.04618, 6.93993, 6.32778, 1021.14861, 0.0, 0.00000, 142.4306, 1.020833, 145.3785, 0.69132, 0.013576, 0.70243, 0.0362361, 0.0000000, 20.97882, 30.1285, 2.78333, 19.14167, 6.241181, 1.20122465, 2.7, 115.2326, 1.0000, 99.18576, 5.0000, 2025-01-14 00:00:07, 2025-01-14 00:00:07, 
2025-01-15 00:00:00, 8.32778, 15.2, 1.5, 51.3264, -1.63507, 3.21424, N, 0.268403, 6.97986, N, 8.22882, 7.50243, 7.40417, 6.53264, 1024.15521, 0.0, 0.00000, 109.4896, 0.784896, 123.5139, 0.59375, 0.011806, 0.64653, 0.0347292, 0.0000000, 21.10625, 29.4688, 2.55139, 19.44444, 6.119201, 1.20443368, 2.2, 115.0903, 1.0000, 99.68993, 5.0000, 2025-01-15 00:00:07, 2025-01-15 00:00:07, 
2025-01-16 00:00:00, 10.90590, 21.3, 5.4, 49.4618, 0.07951, 2.09549, N, 0.174618, 5.76458, N, 10.90278, 9.95208, 9.94896, 9.27049, 1024.15243, 0.0, 0.00000, 129.6806, 0.929583, 133.6840, 0.72083, 0.013958, 0.73368, 0.0267396, 0.0009340, 21.96111, 29.9132, 3.51354, 20.43160, 6.157708, 1.20036215, 2.5, 114.7153, 1.0000, 99.61181, 5.0000, 2025-01-16 00:00:07, 2025-01-16 00:00:07, 
2025-01-17 00:00:00, 16.65556, 19.9, 14.3, 39.8229, 2.49757, 9.53854, N, 0.795243, 20.15313, N, 16.27396, 15.09861, 14.72014, 14.04132, 1012.48264, 0.0, 0.00000, 118.4688, 0.849236, 137.0278, 0.66458, 0.013056, 0.74549, 0.0061910, 0.0003472, 22.20590, 32.5694, 4.96528, 20.84688, 6.592708, 1.18453854, 4.1, 115.7500, 1.0000, 99.96250, 5.0000, 2025-01-17 00:00:07, 2025-01-17 00:00:07, 
2025-01-18 00:00:00, 11.70625, 18.7, 5.2, 35.2396, -4.11771, 4.62188, N, 0.384931, 10.02708, N, 11.54514, 10.27396, 10.10972, 9.52500, 1013.29306, 0.0, 0.00000, 150.7708, 1.080590, 152.5000, 0.71875, 0.014132, 0.72917, 0.0230278, 0.0000139, 19.98576, 29.4410, 1.59826, 18.03542, 6.165590, 1.19668125, 3.6, 115.5521, 1.0000, 99.71632, 5.0000, 2025-01-18 00:00:08, 2025-01-18 00:00:08, 
2025-01-19 00:00:00, 8.02569, 16.9, 0.6, 34.3750, -7.24653, 2.99549, N, 0.249688, 6.80972, N, 7.83472, 6.86597, 6.67431, 5.93368, 1019.07708, 0.0, 0.00000, 147.7535, 1.059063, 149.5347, 0.64931, 0.012813, 0.65764, 0.0357847, 0.0000000, 17.25486, 26.0347, -2.43194, 14.95069, 5.661875, 1.21696632, 2.9, 115.1910, 1.0000, 99.37222, 5.0000, 2025-01-19 00:00:07, 2025-01-19 00:00:07, 
2025-01-20 00:00:00, 8.38125, 20.4, -0.3, 33.9063, -8.21007, 3.61458, N, 0.300347, 7.74653, N, 8.29306, 7.01736, 6.92813, 6.11493, 1015.18785, 0.0, 0.00000, 138.2465, 0.990938, 152.7465, 0.65625, 0.012986, 0.69931, 0.0345069, 0.0001597, 19.47083, 24.5347, -1.42465, 17.56458, 5.371007, 1.20282465, 3.1, 115.3194, 1.0000, 99.41424, 5.0000, 2025-01-20 00:00:07, 2025-01-20 00:00:07, 
2025-01-21 00:00:00, 3.50625, 17.7, -3.8, 32.7986, -11.76076, 6.56007, N, 0.547535, 13.03438, N, 1.73924, 2.61597, 0.84931, 0.06944, 1025.63646, 0.0, 0.00000, 147.9236, 1.060069, 149.8021, 0.61528, 0.012326, 0.62361, 0.0514653, 0.0000000, 20.85590, 24.3056, -0.34618, 18.84931, 5.326319, 1.20883368, 2.9, 116.1632, 1.0000, 99.98125, 5.0000, 2025-01-21 17:00:08, 2025-01-21 17:00:08, 
2025-01-22 00:00:00, 2.73681, 13.0, -4.1, 35.1389, -11.86111, 3.93507, N, 0.327882, 7.93472, N, 2.22118, 1.88194, 1.36424, 0.45903, 1029.38438, 0.0, 0.00000, 139.0660, 0.996632, 151.6840, 0.67118, 0.013264, 0.73715, 0.0541354, 0.0000000, 19.33368, 23.1771, -2.30590, 17.11042, 5.151146, 1.22053507, 2.4, 113.7326, 1.0000, 98.82396, 5.0000, 2025-01-22 00:05:07, 2025-01-22 00:05:07, 
2025-01-23 00:00:00, 6.72361, 11.1, 0.4, 27.7882, -11.05278, 4.12083, N, 0.342813, 8.20764, N, 6.19340, 5.69549, 5.16840, 4.34757, 1025.37986, 0.0, 0.00000, 149.4271, 1.071111, 152.7500, 0.65139, 0.012813, 0.66285, 0.0403056, 0.0000000, 19.06840, 25.1979, -1.38438, 16.72882, 5.491215, 1.21642361, 3.2, 112.7847, 1.0000, 98.50069, 5.0000, 2025-01-23 00:05:07, 2025-01-23 00:05:07, 
2025-01-24 00:00:00, 4.24167, 15.3, -5.4, 25.7743, -14.50208, 4.80000, N, 0.400347, 9.91076, N, 3.67500, 3.12500, 2.55764, 1.80521, 1028.94479, 0.0, 0.00000, 155.6181, 1.115347, 157.4132, 0.72049, 0.014201, 0.73194, 0.0487222, 0.0000000, 19.25139, 22.2778, -2.88264, 16.92014, 5.029688, 1.22063368, 3.1, 112.5208, 1.0000, 97.64444, 5.0000, 2025-01-24 00:05:07, 2025-01-24 00:05:07, 
2025-01-25 00:00:00, 12.08264, 27.2, 1.8, 26.7500, -7.82153, 4.58576, N, 0.381944, 10.93924, N, 11.98125, 10.81215, 10.71111, 10.03368, 1017.79236, 0.0, 0.00000, 155.4583, 1.114167, 157.9444, 0.82882, 0.016354, 0.84097, 0.0287361, 0.0070000, 18.08090, 21.2604, -4.45451, 15.52292, 4.854653, 1.21285486, 4.2, 115.8507, 1.0000, 99.73472, 5.0000, 2025-01-25 00:05:07, 2025-01-25 00:05:07, 
